"cell_line","drug","ref"
"SF268","MK2206","124.305"
"SF268","MS275","3.468"
"SF268","Nilotinib","123.121"
"SF268","NSC87877","1948.113"
"SF268","NU7441","60.542"
"SF268","Nutlin3a","1059.530"
"SF268","NVPBEZ235","0.103"
"SF268","NVPTAE684","0.841"
"SF268","ObatoclaxM","0.058"
"SF268","OSI906","94.197"
"SF268","PAC1","4.974"
"SF268","Paclitaxel","0.012"
"SF268","Parthenoli","12.567"
"SF268","Pazopanib","12.842"
"SF268","PD0325901","4.666"
"SF268","PD0332991","2.226"
"SF268","PD173074","37.920"
"SF268","PF02341066","112.971"
"SF268","PF562271","7.787"
"SF268","PHA665752","167.825"
"SF268","PLX4720","830.830"
"SF268","Pyrimetham","3.587"
"SF268","QS11","15.055"
"SF268","Rapamycin","3.701"
"SF268","RDEA119","6.024"
"SF268","RO3306","48.046"
"SF268","Roscovitin","129.750"
"SF268","Salubrinal","197.733"
"SF268","SB216763","1171.305"
"SF268","SB590885","409.440"
"SF268","Shikonin","5.548"
"SF268","SL01011","415.733"
"SF268","Sorafenib","100.804"
"SF268","STritylLcy","3.143"
"SF268","Sunitinib","3.317"
"SF268","Temsirolim","0.541"
"SF268","Thapsigarg","0.002"
"SF268","Tipifarnib","8.018"
"SF268","Vinblastin","0.016"
"SF268","Vinorelbin","0.017"
"SF268","Vorinostat","3.035"
"SF268","VX680","4.776"
"SF268","VX702","155.346"
"SF268","WH4023","2.480"
"SF268","WZ184","16.463"
"SF268","XMD885","7.501"
"SF268","ZLLNleCHO","55.712"
"SF268","ZM447439","120.751"
"SF295#","17AAG","0.17188623"
"SF295","A769662","63.503"
"SF295#","AEW541","8"
"SF295","AKTinhibit","13.510"
"SF295","AP24534","3.601"
"SF295","AS601245","3.027"
"SF295","AUY922","0.017"
"SF295#","AZD0530","8"
"SF295#","AZD6244","8"
"SF295","AZD6482","2.761"
"SF295","BAY613606","10.316"
"SF295","Bexarotene","5.140"
"SF295","Bicalutami","41.467"
"SF295","Bleomycin","0.022"
"SF295","BMS754807","1.434"
"SF295","Bryostatin","0.165"
"SF295","CHIR99021","78.896"
"SF295","DMOG","338.112"
"SF295","Doxorubici","0.050"
"SF295","Embelin","1.752"
"SF295","Epothilone","0.002"
"SF295#","Erlotinib","8"
"SF295","Etoposide","1.654"
"SF295","FH535","2.336"
"SF295","FTI277","13.210"
"SF295","Gemcitabin","0.052"
"SF295","GSK650394","7.550"
"SF295","IPA3","1359.290"
"SF295#","Irinotecan","0.19690839"
"SF295","JNK9L","0.556"
"SF295#","L685458","8"
"SF295#","Lapatinib","8"
"SF295#","LBW242","8"
"SF295","LFMA13","161.650"
"SF295","Midostauri","0.274"
"SF295","MitomycinC","0.012"
"SF295#","Nilotinib","8"
"SF295","NSC87877","1923.411"
"SF295#","Nutlin3","8"
"SF295","ObatoclaxM","0.341"
"SF295","OSI906","211.835"
"SF295","PAC1","19.515"
"SF295#","Paclitaxel","0.03881523"
"SF295#","Panobinost","0.10690148"
"SF295","Pazopanib","509.750"
"SF295#","PD0325901","8"
"SF295#","PD0332991","8"
"SF295#","PF2341066","4.45616149"
"SF295","PF562271","6.413"
"SF295#","PHA665752","8"
"SF295#","PLX4720","8"
"SF295","QS11","3.217"
"SF295#","RAF265","2.26913356"
"SF295","Shikonin","0.665"
"SF295#","Sorafenib","8"
"SF295#","TAE684","4.87636518"
"SF295","Thapsigarg","0.000"
"SF295","Tipifarnib","2.159"
"SF295#","TKI258","6.2114501"
"SF295#","Topotecan","0.35075253"
"SF295","Vinorelbin","0.012"
"SF295#","ZD6474","8"
"SF539","17AAG","0.067"
"SF539","681640","1.247"
"SF539","A443654","3.778"
"SF539","A770041","202.380"
"SF539","ABT263","171.188"
"SF539","ABT888","569.626"
"SF539","AICAR","24613.567"
"SF539","AMG706","17.188"
"SF539","ATRA","66.776"
"SF539","Axitinib","26.535"
"SF539","AZ628","17.710"
"SF539","AZD0530","144.054"
"SF539","AZD2281","11.404"
"SF539","AZD6244","13.836"
"SF539","AZD7762","0.138"
"SF539","AZD8055","1.577"
"SF539","BI2536","0.488"
"SF539","BIBW2992","9.173"
"SF539","BID1870","10.642"
"SF539","BIRB0796","442.020"
"SF539","BMS509744","1007.206"
"SF539","BMS536924","18.927"
"SF539","Bortezomib","0.021"
"SF539","Bosutinib","14.940"
"SF539","BX795","3.727"
"SF539","Camptothec","0.009"
"SF539","CEP701","0.176"
"SF539","CGP082996","41.795"
"SF539","CGP60474","0.321"
"SF539","CI1040","20.330"
"SF539","Cisplatin","3.513"
"SF539","CMK","13.552"
"SF539","Cyclopamin","563.582"
"SF539","Cytarabine","0.717"
"SF539","Dasatinib","13.745"
"SF539","Docetaxel","0.000"
"SF539","Elesclomol","0.025"
"SF539","Erlotinib","129.646"
"SF539","GDC0449","240.836"
"SF539","GDC0941","6.952"
"SF539","Gefitinib","42.067"
"SF539","GNF2","235.423"
"SF539","GSK269962A","1.286"
"SF539","GW441756","123.638"
"SF539","GW843682X","0.338"
"SF539","Imatinib","154.528"
"SF539","JNKInhibit","114.433"
"SF539","JW7521","0.984"
"SF539","KIN001135","177.355"
"SF539","KU55933","405.500"
"SF539","Lapatinib","179.435"
"SF539","Lenalidomi","634.445"
"SF539","Metformin","30285.320"
"SF539","Methotrexa","18.920"
"SF539","MG132","189.662"
"SF539","MK2206","10.824"
"SF539","MS275","0.197"
"SF539","Nilotinib","112.421"
"SF539","NU7441","54.945"
"SF539","Nutlin3a","406.877"
"SF539","NVPBEZ235","0.053"
"SF539","NVPTAE684","0.001"
"SF539","Paclitaxel","0.024"
"SF539","Parthenoli","2.466"
"SF539","PD0325901","0.673"
"SF539","PD0332991","341.840"
"SF539","PD173074","102.937"
"SF539","PF02341066","0.205"
"SF539","PHA665752","49.667"
"SF539","PLX4720","1092.350"
"SF539","Pyrimetham","2.539"
"SF539","Rapamycin","0.000"
"SF539","RDEA119","2.205"
"SF539","RO3306","7.505"
"SF539","Roscovitin","806.429"
"SF539","Salubrinal","2256.492"
"SF539","SB216763","21.812"
"SF539","SB590885","574.588"
"SF539","SL01011","671.207"
"SF539","Sorafenib","5.106"
"SF539","STritylLcy","2.058"
"SF539","Sunitinib","104.947"
"SF539","Temsirolim","0.122"
"SF539","Vinblastin","0.001"
"SF539","Vorinostat","5.240"
"SF539","VX680","17.834"
"SF539","VX702","151.236"
"SF539","WH4023","219.773"
"SF539","WZ184","1098.138"
"SF539","XMD885","522.875"
"SF539","ZLLNleCHO","38.242"
"SF539","ZM447439","9.418"
"SF8657#","0.02704752","SF8657"
"SF8657#","0.12662635","SF8657"
"SF8657#","0.13194224","SF8657"
"SF8657#","0.5038746","SF8657"
"SF8657#","2.78341674","SF8657"
"SF8657#","3.79918384","SF8657"
"SF8657#","4.42369604","SF8657"
"SF8657#","4.62920427","SF8657"
"SF8657#","8","SF8657"
"SH10TC#","17AAG","0.42586872"
"SH10TC#","AEW541","8"
"SH10TC#","AZD0530","8"
"SH10TC#","AZD6244","8"
"SH10TC#","Erlotinib","8"
"SH10TC#","Irinotecan","1.95809280"
"SH10TC#","L685458","8"
"SH10TC#","Lapatinib","8"
"SH10TC#","LBW242","8"
"SH10TC#","Nilotinib","7.97711277"
"SH10TC#","Nutlin3","8"
"SH10TC#","Paclitaxel","0.01959409"
"SH10TC#","Panobinost","0.10355719"
"SH10TC#","PD0325901","8"
"SH10TC#","PD0332991","8"
"SH10TC#","PF2341066","8"
"SH10TC#","PHA665752","8"
"SH10TC#","PLX4720","8"
"SH10TC#","RAF265","5.33422517"
"SH10TC#","Sorafenib","8"
"SH10TC#","TAE684","8"
"SH10TC#","TKI258","8"
"SH10TC#","Topotecan","2.63229060"
"SH10TC#","ZD6474","8"
"SH4","A443654","0.186"
"SH4","A769662","14.820"
"SH4","A770041","0.913"
"SH4","AICAR","2840.009"
"SH4","AKTinhibit","89.313"
"SH4","AP24534","1.022"
"SH4","AS601245","15.831"
"SH4","AUY922","0.042"
"SH4","AZ628","0.003"
"SH4","AZD0530","4.234"
"SH4","AZD6482","22.623"
"SH4","BAY613606","46.896"
"SH4","Bexarotene","5.284"
"SH4","BI2536","0.156"
"SH4","Bicalutami","89.590"
"SH4","Bleomycin","7.798"
"SH4","BMS509744","2.487"
"SH4","BMS536924","0.882"
"SH4","BMS754807","1.626"
"SH4","Bortezomib","0.000"
"SH4","Bryostatin","0.200"
"SH4","CGP082996","3.300"
"SH4","CGP60474","0.339"
"SH4","CHIR99021","278.292"
"SH4","CMK","7.163"
"SH4","Cyclopamin","419.731"
"SH4","Dasatinib","0.185"
"SH4","DMOG","2368.042"
"SH4","Doxorubici","0.093"
"SH4","Embelin","24.655"
"SH4","Epothilone","0.008"
"SH4","Erlotinib","107.456"
"SH4","Etoposide","3.124"
"SH4","FH535","1.383"
"SH4","FTI277","41.737"
"SH4","Gemcitabin","0.009"
"SH4","GNF2","16.132"
"SH4","GSK269962A","5.725"
"SH4","GSK650394","40.709"
"SH4","GW843682X","0.124"
"SH4","Imatinib","117.274"
"SH4","IPA3","1415.579"
"SH4","JNK9L","0.411"
"SH4","JW7521","0.036"
"SH4","KIN001135","19.293"
"SH4","Lapatinib","99.219"
"SH4","LFMA13","150.109"
"SH4","Metformin","25386.136"
"SH4","MG132","0.044"
"SH4","Midostauri","0.494"
"SH4","MitomycinC","0.388"
"SH4","MS275","1.024"
"SH4","NSC87877","141.675"
"SH4","NVPTAE684","3.276"
"SH4","ObatoclaxM","0.004"
"SH4","OSI906","16.332"
"SH4","PAC1","201.916"
"SH4","Paclitaxel","0.019"
"SH4","Parthenoli","15.139"
"SH4","Pazopanib","8.679"
"SH4","PF02341066","72.327"
"SH4","PF562271","4.704"
"SH4","PHA665752","154.651"
"SH4","Pyrimetham","200.312"
"SH4","QS11","17.546"
"SH4","Rapamycin","0.004"
"SH4","Roscovitin","127.062"
"SH4","Salubrinal","85.839"
"SH4","Shikonin","0.372"
"SH4","Sorafenib","0.657"
"SH4","STritylLcy","2.304"
"SH4","Sunitinib","5.455"
"SH4","Thapsigarg","0.018"
"SH4","Tipifarnib","1.304"
"SH4","Vinorelbin","0.016"
"SH4","VX680","2.319"
"SH4","WH4023","2.116"
"SH4","WZ184","109.446"
"SH4","XMD885","1.986"
"SH4","ZLLNleCHO","0.606"
"SHP77#","17AAG","0.31229904"
"SHP77","17AAG","0.905"
"SHP77","681640","78.386"
"SHP77","A443654","10.488"
"SHP77","A770041","123.023"
"SHP77","ABT263","76.716"
"SHP77","ABT888","462.394"
"SHP77#","AEW541","8"
"SHP77","AICAR","16436.978"
"SHP77","AMG706","126.266"
"SHP77","ATRA","577.863"
"SHP77","Axitinib","217.463"
"SHP77","AZ628","108.511"
"SHP77","AZD0530","168.294"
"SHP77#","AZD0530","8"
"SHP77","AZD2281","411.609"
"SHP77","AZD6244","51.334"
"SHP77#","AZD6244","8"
"SHP77","AZD7762","51.858"
"SHP77","AZD8055","108.880"
"SHP77","BI2536","0.708"
"SHP77","BIBW2992","29.314"
"SHP77","BID1870","42.688"
"SHP77","BIRB0796","342.727"
"SHP77","BMS509744","544.581"
"SHP77","BMS536924","415.443"
"SHP77","Bortezomib","0.038"
"SHP77","Bosutinib","130.242"
"SHP77","BX795","369.299"
"SHP77","Camptothec","1.542"
"SHP77","CEP701","3.511"
"SHP77","CGP082996","133.170"
"SHP77","CGP60474","0.156"
"SHP77","CI1040","282.711"
"SHP77","Cisplatin","590.029"
"SHP77","CMK","143.667"
"SHP77","Cyclopamin","1278.835"
"SHP77","Cytarabine","93.579"
"SHP77","Dasatinib","239.614"
"SHP77","Docetaxel","0.117"
"SHP77","Elesclomol","1.457"
"SHP77","Erlotinib","205.491"
"SHP77#","Erlotinib","8"
"SHP77","GDC0449","947.496"
"SHP77","GDC0941","398.765"
"SHP77","Gefitinib","7.817"
"SHP77","GNF2","198.009"
"SHP77","GSK269962A","249.238"
"SHP77","GW441756","100.925"
"SHP77","GW843682X","0.058"
"SHP77","Imatinib","145.831"
"SHP77#","Irinotecan","1.92904281"
"SHP77","JNKInhibit","449.396"
"SHP77","JW7521","5.917"
"SHP77","KIN001135","603.775"
"SHP77","KU55933","810.540"
"SHP77#","L685458","8"
"SHP77","Lapatinib","140.228"
"SHP77#","Lapatinib","8"
"SHP77#","LBW242","8"
"SHP77","Lenalidomi","393.669"
"SHP77","Metformin","25742.941"
"SHP77","Methotrexa","1.911"
"SHP77","MG132","7.181"
"SHP77","MK2206","9.335"
"SHP77","MS275","3.988"
"SHP77","Nilotinib","158.839"
"SHP77#","Nilotinib","8"
"SHP77","NU7441","179.042"
"SHP77#","Nutlin3","8"
"SHP77","Nutlin3a","12.461"
"SHP77","NVPBEZ235","3.514"
"SHP77","NVPTAE684","243.783"
"SHP77#","Paclitaxel","0.25044205"
"SHP77","Paclitaxel","0.480"
"SHP77#","Panobinost","0.12698088"
"SHP77","Parthenoli","515.628"
"SHP77","PD0325901","1.133"
"SHP77#","PD0325901","8"
"SHP77","PD0332991","6.279"
"SHP77#","PD0332991","8"
"SHP77","PD173074","216.921"
"SHP77","PF02341066","206.785"
"SHP77#","PF2341066","8"
"SHP77","PHA665752","447.385"
"SHP77#","PHA665752","8"
"SHP77","PLX4720","698.863"
"SHP77#","PLX4720","8"
"SHP77","Pyrimetham","26.543"
"SHP77#","RAF265","8"
"SHP77","Rapamycin","10.333"
"SHP77","RDEA119","489.724"
"SHP77","RO3306","27.210"
"SHP77","Roscovitin","122.717"
"SHP77","Salubrinal","38.927"
"SHP77","SB216763","743.942"
"SHP77","SB590885","494.040"
"SHP77","SL01011","26.256"
"SHP77#","Sorafenib","8"
"SHP77","Sorafenib","9.649"
"SHP77","STritylLcy","7.024"
"SHP77","Sunitinib","50.657"
"SHP77#","TAE684","8"
"SHP77","Temsirolim","4.598"
"SHP77#","TKI258","8"
"SHP77#","Topotecan","7.47363233"
"SHP77","Vinblastin","0.149"
"SHP77","Vorinostat","7.097"
"SHP77","VX680","329.066"
"SHP77","VX702","198.049"
"SHP77","WH4023","421.408"
"SHP77","WZ184","1495.216"
"SHP77","XMD885","355.357"
"SHP77#","ZD6474","8"
"SHP77","ZLLNleCHO","39.329"
"SHP77","ZM447439","19.007"
"SIGM5#","17AAG","0.17025430"
"SIGM5","A770041","5.813"
"SIGM5#","AEW541","0.64528906"
"SIGM5","AZ628","0.010"
"SIGM5","AZD0530","118.947"
"SIGM5#","AZD0530","8"
"SIGM5#","AZD6244","0.00644434"
"SIGM5","BI2536","0.228"
"SIGM5","BMS509744","8.014"
"SIGM5","BMS536924","0.324"
"SIGM5","Bortezomib","0.106"
"SIGM5","CGP082996","170.234"
"SIGM5","CGP60474","0.030"
"SIGM5","CMK","11.317"
"SIGM5","Cyclopamin","353.379"
"SIGM5#","Erlotinib","5.47665992"
"SIGM5","Erlotinib","77.501"
"SIGM5","GSK269962A","11.638"
"SIGM5","GW843682X","0.021"
"SIGM5","Imatinib","242.377"
"SIGM5#","Irinotecan","0.06742652"
"SIGM5","JW7521","0.090"
"SIGM5","KIN001135","299.390"
"SIGM5#","L685458","0.40616578"
"SIGM5","Lapatinib","128.706"
"SIGM5#","Lapatinib","7.85188722"
"SIGM5#","LBW242","8"
"SIGM5","MG132","30.476"
"SIGM5","MS275","0.579"
"SIGM5#","Nilotinib","1.64960086"
"SIGM5#","Nutlin3","1.45072388"
"SIGM5","NVPTAE684","0.293"
"SIGM5","Paclitaxel","0.003"
"SIGM5#","Paclitaxel","8"
"SIGM5#","Panobinost","0.00899396"
"SIGM5","Parthenoli","207.632"
"SIGM5#","PD0325901","0.00254261"
"SIGM5#","PD0332991","0.39775967"
"SIGM5","PF02341066","17.041"
"SIGM5#","PF2341066","2.85500121"
"SIGM5#","PHA665752","0.44966996"
"SIGM5","PHA665752","135.379"
"SIGM5#","PLX4720","0.03356985"
"SIGM5","Pyrimetham","7.934"
"SIGM5#","RAF265","0.15710352"
"SIGM5","Rapamycin","0.017"
"SIGM5","Roscovitin","31.351"
"SIGM5","Salubrinal","18.986"
"SIGM5","Sorafenib","2.416"
"SIGM5#","Sorafenib","5.05460929"
"SIGM5","STritylLcy","2.759"
"SIGM5","Sunitinib","1.369"
"SIGM5#","TAE684","0.11910061"
"SIGM5#","TKI258","1.19910621"
"SIGM5#","Topotecan","0.04164324"
"SIGM5","WH4023","34.308"
"SIGM5","XMD885","5.328"
"SIGM5#","ZD6474","8"
"SIGM5","ZLLNleCHO","81.852"
"SiHa","A769662","66.922"
"SiHa","ABT888","715.358"
"SiHa","AICAR","15063.891"
"SiHa","AKTinhibit","74.322"
"SiHa","AP24534","23.173"
"SiHa","AS601245","687.940"
"SiHa","ATRA","21.572"
"SiHa","AUY922","4.928"
"SiHa","Axitinib","57.432"
"SiHa","AZD2281","711.517"
"SiHa","AZD6482","281.053"
"SiHa","AZD7762","67.438"
"SiHa","BAY613606","257.395"
"SiHa","Bexarotene","180.404"
"SiHa","BIBW2992","15.504"
"SiHa","Bicalutami","85.839"
"SiHa","Bleomycin","5038.220"
"SiHa","BMS754807","92.679"
"SiHa","Bosutinib","147.704"
"SiHa","Bryostatin","0.071"
"SiHa","Camptothec","0.071"
"SiHa","CEP701","7.086"
"SiHa","CHIR99021","58.911"
"SiHa","CI1040","32.130"
"SiHa","Cisplatin","59.858"
"SiHa","Cytarabine","6.261"
"SiHa","DMOG","1151.850"
"SiHa","Docetaxel","0.010"
"SiHa","Doxorubici","23.113"
"SiHa","Elesclomol","0.050"
"SiHa","Embelin","80.157"
"SiHa","Epothilone","0.058"
"SiHa","Etoposide","509.496"
"SiHa","FH535","19.484"
"SiHa","FTI277","84.691"
"SiHa","GDC0449","725.412"
"SiHa","Gefitinib","11.886"
"SiHa","Gemcitabin","88.984"
"SiHa","GSK650394","1619.676"
"SiHa","GW441756","38.954"
"SiHa","IPA3","2230.102"
"SiHa","JNK9L","1.106"
"SiHa","Lenalidomi","517.533"
"SiHa","LFMA13","446.895"
"SiHa","Metformin","66702.765"
"SiHa","Methotrexa","7.364"
"SiHa","Midostauri","13.003"
"SiHa","MitomycinC","1.890"
"SiHa","Nilotinib","280.074"
"SiHa","NSC87877","163.661"
"SiHa","ObatoclaxM","3.109"
"SiHa","OSI906","56.461"
"SiHa","PAC1","170.472"
"SiHa","Pazopanib","196.809"
"SiHa","PF562271","128.604"
"SiHa","QS11","1070.679"
"SiHa","SB216763","475.863"
"SiHa","Shikonin","18.437"
"SiHa","Temsirolim","0.787"
"SiHa","Thapsigarg","48.532"
"SiHa","Tipifarnib","27.156"
"SiHa","Vinblastin","0.087"
"SiHa","Vinorelbin","0.282"
"SiHa","Vorinostat","33.698"
"SiHa","VX702","206.065"
"SIMA#","17AAG","1.77870035"
"SIMA","A443654","242.063"
"SIMA","A770041","160.366"
"SIMA#","AEW541","0.45845755"
"SIMA","AZ628","4.440"
"SIMA","AZD0530","238.875"
"SIMA#","AZD0530","8"
"SIMA#","AZD6244","8"
"SIMA","BI2536","3.570"
"SIMA","BMS509744","80.694"
"SIMA","BMS536924","115.476"
"SIMA","Bortezomib","0.024"
"SIMA","CGP082996","572.986"
"SIMA","CGP60474","21.570"
"SIMA","CMK","130.619"
"SIMA","Cyclopamin","396.584"
"SIMA","Dasatinib","290.135"
"SIMA","Erlotinib","512.093"
"SIMA#","Erlotinib","8"
"SIMA","GNF2","190.306"
"SIMA","GSK269962A","132.323"
"SIMA","GW843682X","1.113"
"SIMA","Imatinib","56.625"
"SIMA#","Irinotecan","0.04234249"
"SIMA","JW7521","1.680"
"SIMA","KIN001135","3752.995"
"SIMA#","L685458","4.65068174"
"SIMA","Lapatinib","294.242"
"SIMA#","Lapatinib","8"
"SIMA#","LBW242","8"
"SIMA","MG132","5.280"
"SIMA","MS275","1766.782"
"SIMA#","Nilotinib","8"
"SIMA#","Nutlin3","8"
"SIMA","NVPTAE684","241.196"
"SIMA#","Paclitaxel","0.00254261"
"SIMA","Paclitaxel","0.347"
"SIMA#","Panobinost","0.05867953"
"SIMA","Parthenoli","39.172"
"SIMA#","PD0325901","1.33800911"
"SIMA#","PD0332991","8"
"SIMA","PF02341066","382.679"
"SIMA#","PF2341066","8"
"SIMA#","PHA665752","8"
"SIMA","PHA665752","95.903"
"SIMA#","PLX4720","8"
"SIMA","Pyrimetham","4889.278"
"SIMA#","RAF265","3.24539065"
"SIMA","Rapamycin","16.341"
"SIMA","Roscovitin","2980.109"
"SIMA","Salubrinal","32.293"
"SIMA#","Sorafenib","4.71753241"
"SIMA","Sorafenib","6.960"
"SIMA","STritylLcy","845.115"
"SIMA","Sunitinib","311.136"
"SIMA#","TAE684","0.83757507"
"SIMA#","TKI258","1.34007101"
"SIMA#","Topotecan","0.04258319"
"SIMA","VX680","516.451"
"SIMA","WH4023","11.209"
"SIMA","WZ184","1006.202"
"SIMA","XMD885","733.777"
"SIMA#","ZD6474","8"
"SIMA","ZLLNleCHO","306.610"
"SJRH30#","17AAG","0.74634647"
"SJRH30","17AAG","2.038"
"SJRH30","681640","6.891"
"SJRH30","ABT263","102.313"
"SJRH30#","AEW541","2.00216722"
"SJRH30","AMG706","103.999"
"SJRH30#","AZD0530","8"
"SJRH30","AZD6244","46.232"
"SJRH30#","AZD6244","8"
"SJRH30","AZD8055","2.445"
"SJRH30","BID1870","5.364"
"SJRH30","BIRB0796","161.699"
"SJRH30","BX795","5.045"
"SJRH30#","Erlotinib","8"
"SJRH30","GDC0941","8.107"
"SJRH30","JNKInhibit","104.916"
"SJRH30","KU55933","451.687"
"SJRH30#","L685458","8"
"SJRH30#","Lapatinib","8"
"SJRH30#","LBW242","8"
"SJRH30","MK2206","3.677"
"SJRH30#","Nilotinib","8"
"SJRH30","NU7441","65.165"
"SJRH30#","Nutlin3","8"
"SJRH30","Nutlin3a","305.511"
"SJRH30","NVPBEZ235","0.145"
"SJRH30#","Paclitaxel","0.00764950"
"SJRH30#","Panobinost","0.02578016"
"SJRH30","PD0325901","4.926"
"SJRH30#","PD0325901","8"
"SJRH30","PD0332991","25.396"
"SJRH30#","PD0332991","8"
"SJRH30","PD173074","25.142"
"SJRH30#","PF2341066","3.41640973"
"SJRH30#","PHA665752","8"
"SJRH30","PLX4720","601.552"
"SJRH30#","PLX4720","8"
"SJRH30#","RAF265","3.00956010"
"SJRH30","RDEA119","33.500"
"SJRH30","RO3306","481.110"
"SJRH30","SB590885","218.136"
"SJRH30","SL01011","717.643"
"SJRH30#","Sorafenib","7.89664363"
"SJRH30#","TAE684","1.12532377"
"SJRH30#","TKI258","8"
"SJRH30#","Topotecan","0.13071563"
"SJRH30#","ZD6474","8"
"SJRH30","ZM447439","8.927"
"SJSA1#","17AAG","0.31238058"
"SJSA1","17AAG","0.320"
"SJSA1","681640","9.629"
"SJSA1","A443654","0.378"
"SJSA1","A770041","82.953"
"SJSA1","ABT263","40.697"
"SJSA1","ABT888","208.358"
"SJSA1#","AEW541","4.11328554"
"SJSA1","AICAR","929.347"
"SJSA1","AMG706","54.449"
"SJSA1","AS601245","38.974"
"SJSA1","ATRA","499.189"
"SJSA1","AUY922","0.021"
"SJSA1","Axitinib","68.693"
"SJSA1","AZ628","1.429"
"SJSA1","AZD0530","65.327"
"SJSA1#","AZD0530","8"
"SJSA1","AZD2281","265.712"
"SJSA1","AZD6244","3.766"
"SJSA1#","AZD6244","8"
"SJSA1","AZD7762","0.418"
"SJSA1","AZD8055","0.447"
"SJSA1","BAY613606","3.757"
"SJSA1","Bexarotene","19.048"
"SJSA1","BI2536","0.056"
"SJSA1","BIBW2992","26.748"
"SJSA1","Bicalutami","84.237"
"SJSA1","BID1870","2.661"
"SJSA1","BIRB0796","54.688"
"SJSA1","Bleomycin","2.182"
"SJSA1","BMS509744","7.584"
"SJSA1","BMS536924","0.457"
"SJSA1","BMS754807","0.327"
"SJSA1","Bortezomib","0.002"
"SJSA1","Bosutinib","55.762"
"SJSA1","Bryostatin","0.322"
"SJSA1","BX795","33.971"
"SJSA1","Camptothec","0.018"
"SJSA1","CEP701","0.217"
"SJSA1","CGP082996","91.952"
"SJSA1","CGP60474","0.061"
"SJSA1","CI1040","11.982"
"SJSA1","Cisplatin","22.749"
"SJSA1","CMK","51.827"
"SJSA1","Cyclopamin","500.734"
"SJSA1","Cytarabine","0.236"
"SJSA1","Dasatinib","8.670"
"SJSA1","Docetaxel","0.001"
"SJSA1","Doxorubici","0.112"
"SJSA1","Elesclomol","0.012"
"SJSA1","Embelin","4.248"
"SJSA1","Epothilone","0.002"
"SJSA1","Erlotinib","116.889"
"SJSA1#","Erlotinib","8"
"SJSA1","FH535","5.673"
"SJSA1","GDC0449","988.406"
"SJSA1","GDC0941","3.698"
"SJSA1","Gefitinib","52.258"
"SJSA1","Gemcitabin","0.196"
"SJSA1","GNF2","93.991"
"SJSA1","GSK269962A","1.045"
"SJSA1","GSK650394","14.958"
"SJSA1","GW441756","11.389"
"SJSA1","GW843682X","0.033"
"SJSA1","Imatinib","105.587"
"SJSA1","IPA3","71.097"
"SJSA1","JNKInhibit","497.648"
"SJSA1","JW7521","0.042"
"SJSA1","KIN001135","65.982"
"SJSA1","KU55933","196.927"
"SJSA1#","L685458","8"
"SJSA1","Lapatinib","45.022"
"SJSA1#","Lapatinib","8"
"SJSA1#","LBW242","8"
"SJSA1","Lenalidomi","406.107"
"SJSA1","LFMA13","884.509"
"SJSA1","Metformin","32024.211"
"SJSA1","Methotrexa","15.527"
"SJSA1","MG132","9.030"
"SJSA1","MitomycinC","0.132"
"SJSA1","MK2206","13.129"
"SJSA1","MS275","1.521"
"SJSA1","Nilotinib","117.333"
"SJSA1","NU7441","20.380"
"SJSA1#","Nutlin3","6.45652198"
"SJSA1","Nutlin3a","2.817"
"SJSA1","NVPBEZ235","0.039"
"SJSA1","NVPTAE684","0.638"
"SJSA1","ObatoclaxM","0.148"
"SJSA1","OSI906","1.036"
"SJSA1","PAC1","2.313"
"SJSA1#","Paclitaxel","0.01665611"
"SJSA1","Paclitaxel","0.018"
"SJSA1#","Panobinost","0.11665716"
"SJSA1","Parthenoli","55.264"
"SJSA1","Pazopanib","272.228"
"SJSA1","PD0325901","0.124"
"SJSA1#","PD0325901","8"
"SJSA1","PD0332991","2.372"
"SJSA1#","PD0332991","8"
"SJSA1","PD173074","101.116"
"SJSA1","PF02341066","96.257"
"SJSA1#","PF2341066","5.97356987"
"SJSA1","PHA665752","184.202"
"SJSA1#","PHA665752","8"
"SJSA1","PLX4720","501.133"
"SJSA1#","PLX4720","8"
"SJSA1","Pyrimetham","3.759"
"SJSA1","QS11","2.551"
"SJSA1#","RAF265","3.51543450"
"SJSA1","Rapamycin","0.273"
"SJSA1","RDEA119","0.159"
"SJSA1","RO3306","64.692"
"SJSA1","Roscovitin","49.509"
"SJSA1","Salubrinal","209.399"
"SJSA1","SB216763","77.671"
"SJSA1","SB590885","21.723"
"SJSA1","SL01011","400.198"
"SJSA1","Sorafenib","141.196"
"SJSA1#","Sorafenib","8"
"SJSA1","STritylLcy","0.751"
"SJSA1","Sunitinib","7.613"
"SJSA1#","TAE684","8"
"SJSA1","Temsirolim","0.144"
"SJSA1","Thapsigarg","0.003"
"SJSA1","Tipifarnib","22.609"
"SJSA1#","TKI258","8"
"SJSA1#","Topotecan","0.19628626"
"SJSA1","Vinblastin","0.012"
"SJSA1","Vorinostat","6.526"
"SJSA1","VX680","11.205"
"SJSA1","VX702","24.793"
"SJSA1","WH4023","146.911"
"SJSA1","WZ184","499.587"
"SJSA1","XMD885","28.484"
"SJSA1#","ZD6474","8"
"SJSA1","ZLLNleCHO","9.464"
"SJSA1","ZM447439","28.252"
"SKBR3#","17AAG","0.03655413"
"SKBR3#","AEW541","8"
"SKBR3#","AZD0530","8"
"SKBR3#","AZD6244","8"
"SKBR3#","Erlotinib","8"
