"cell_line","0-0.001_uM","0.001-0.005_uM","0.005-0.025_uM","0.025-0.125_uM","0.125-0.625_uM","0.625-15_uM","15-390_uM",">390_uM"
"KGN","6","0","8","7","14","40","52","11"
"KHM1B","0","1","1","3","2","17","0","0"
"KINGS1","2","0","4","6","13","36","60","17"
"KLE","0","0","1","7","13","56","57","13"
"KM12","4","0","6","12","12","43","52","9"
"KMBC2","0","0","0","3","0","21","0","0"
"KMH2","1","0","4","5","7","33","56","23"
"KMM1","0","0","1","0","4","19","0","0"
"KMOE2","1","0","2","7","11","29","44","10"
"KMRC1","0","0","0","0","4","20","0","0"
"KMRC2","0","0","1","0","2","21","0","0"
"KMS11","0","0","1","1","3","19","0","0"
"KMS12BM","0","2","0","1","2","18","0","0"
"KMS12PE","0","0","0","3","5","10","34","25"
"KMS26","0","2","0","2","1","19","0","0"
"KMS34","0","0","2","2","3","17","0","0"
"KNS42","3","0","6","4","10","49","75","15"
"KNS60","0","1","0","2","2","19","0","0"
"KNS62","1","0","3","4","5","36","27","5"
"KNS81","0","0","0","1","4","19","0","0"
"KNS81FD","2","0","4","3","10","34","67","18"
"KO52","0","1","2","3","3","15","0","0"
"KOSC2","4","0","1","3","10","25","42","13"
"KP1N","0","0","1","0","1","22","0","0"
"KP1NL","0","0","1","0","1","22","0","0"
"KP2","0","0","1","3","1","17","0","0"
"KP3","0","0","0","1","2","21","0","0"
"KP4","7","1","2","7","9","42","44","6"
"KPNRTBM1","0","0","0","0","5","8","12","0"
"KPNSI9S","0","1","1","4","1","17","0","0"
"KPNYN","0","0","0","6","3","17","51","17"
"KPNYS","1","0","5","6","8","37","52","20"
"KS1","8","0","9","12","14","48","37","10"
"KU1919","0","0","2","5","6","28","42","15"
"KU812","6","0","9","13","19","53","39","6"
"KURAMOCHI","2","0","5","9","11","60","57","18"
"KY821","2","0","4","8","11","26","51","18"
"KYM1","0","1","1","2","1","15","0","0"
"KYSE140","4","0","3","8","8","46","34","14"
"KYSE150","3","0","4","10","7","46","37","12"
"KYSE180","3","0","7","6","12","43","35","11"
"KYSE270","5","0","4","4","12","29","36","8"
"KYSE30","0","0","1","1","2","20","0","0"
